"id","user_id","total_score","engagement_level","conversion_potential","total_content_views","unique_content_views","avg_daily_usage_minutes","consecutive_days_streak","total_active_days","total_messages_sent","total_conversations_started","unique_contacts_messaged","active_conversations","has_phones","total_phones","has_whatsapp","has_telegram","last_activity_at","last_content_view_at","last_message_sent_at","last_login_at","favorite_category","favorite_content_type","preferred_usage_time","score_updated_at","created_at","updated_at","deleted_at"
"f05f034b-b29d-42e9-98ed-d9eac740877e","aa736f39-4f54-4741-a6c4-6d7b0ba6e7cf",1,"LOW","LOW","0","0",0,1,"1","0",0,0,0,False,0,False,False,"2026-03-29 11:48:58.059919",NULL,NULL,"2026-03-29 11:48:58.059919",NULL,NULL,NULL,"2026-03-29 11:48:58.333727","2026-03-29 11:24:42.412987","2026-03-29 11:48:58.335227",NULL
"c8416309-4db6-49da-bdc9-fadc67125658","df3d99a4-f58e-4ec1-8bb0-8d1e7fa26ef9",1,"LOW","LOW","0","0",0,1,"1","0",0,0,0,False,0,False,False,"2026-03-29 11:51:03.065847",NULL,NULL,"2026-03-29 11:51:03.065847",NULL,NULL,NULL,"2026-03-29 11:51:03.356316","2026-03-29 11:28:50.432353","2026-03-29 11:51:03.358398",NULL
